"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2014JP3755RTRIA",61,NA,12,"partly cloudy ","trial round ",1.53,0.58,-0.42,12,45,45,12
"2014JP3755RL",72,NA,9.8,"partly cloudy ","1st round ",0.15,-0.4,-0.98,13,44,45,12
"2014JP3755RL",73,NA,9.4,"partly cloudy ","final round ",0.47,-0.06,-0.48,15,30,30,10
"2014JP3754RTRIA",75,NA,12.8,"cloudy ","trial round ",0.98,0.13,-0.78,21,34,34,12
"2014JP3754RL",59,NA,16.5,"partly cloudy ","1st round ",1.26,0.64,-0.16,22,35,36,12
"2014JP3754RL",49,NA,17.1,"partly cloudy ","final round ",1.54,0.78,0.09,21,30,30,12
"2014JP3753RLT",38,NA,22.4,"clear ","1st round ",0.82,0.1,-1.64,19,33,33,11
"2014JP3753RLT",39,NA,21.4,"clear ","2nd round ",1.06,0.09,-0.58,23,37,37,12
"2014JP3753RLT",21,NA,40,"clear ","3rd round ",0.11,-0.24,-0.68,23,29,29,10
"2014JP3753RL",78,NA,11.8,"clear ","1st round ",-0.06,-0.38,-0.73,23,37,37,12
"2014JP3753RL",79,NA,11,"clear ","final round ",0.1,-0.32,-0.63,23,30,30,12
"2014JP3742RTRIA",79,NA,22.9,"cloudy ","trial round ",0.97,-0.08,-1.06,16,40,40,12
"2014JP3742RL",81,NA,21.5,"cloudy ","1st round ",0.52,-0.29,-1.18,17,42,42,12
"2014JP3742RL",81,NA,21.1,"cloudy ","final round ",0.06,-0.51,-0.91,19,30,30,8
"2014JP3741RTRIA",71,NA,26.2,"rain ","trial round ",0.61,-0.06,-0.58,17,46,46,12
"2014JP3741RL",97,NA,19,"rain ","1st round ",1.21,0.17,-0.4,18,48,48,12
"2014JP3741RL",97,NA,18.9,"rain ","final round ",1.09,-0.27,-1.12,18,30,30,7
"2014JP3736RTRIA",38,NA,26.6,"partly cloudy ","trial round ",1.52,0.74,-0.41,13,48,48,16
"2014JP3736RLT",45,NA,26.2,"partly cloudy ","1st round ",1.72,0.53,-0.27,13,64,64,18
"2014JP3736RLT",46,NA,24.8,"partly cloudy ","2nd round ",0.77,0.02,-1.84,16,69,69,18
"2014JP3736RL",40,NA,25.9,"partly cloudy ","1st round ",0.56,0,-0.48,15,51,51,16
"2014JP3736RL",45,NA,24.5,"partly cloudy ","final round ",0.21,-0.28,-0.53,16,30,30,11
"2014JP3733RTRIA",46,NA,21.5,"sunny ","trial round ",1.22,-0.01,-0.83,21,50,50,16
"2014JP3733RLT",46,NA,23.9,"partly cloudy ","1st round ",3.21,2.26,0.74,15,65,65,16
"2014JP3733RLT",43,NA,24,"partly cloudy ","2nd round ",3.24,2.2,1.21,16,64,64,16
"2014JP3733RLQ",43,NA,23.9,"sunny ","qualification ",1.98,1.11,0.4,18,63,63,18
"2014JP3733RL",51,NA,19.5,"clear ","1st round ",-0.02,-0.56,-1.1,24,48,50,16
"2014JP3733RL",62,NA,18.1,"clear ","final round ",-0.86,-1.4,-1.81,25,30,30,11
"2014JP3732RTRIA",35,NA,27.1,"sunny ","trial round ",2.49,1.49,0.43,13,38,38,12
"2014JP3732RLT",41,NA,24.6,"sunny ","1st round ",1.89,1.28,0.37,13,46,46,13
"2014JP3732RLT",42,NA,26.3,"sunny ","2nd round ",2.24,1.35,0.32,14,19,19,11
"2014JP3732RL",35,NA,29.1,"sunny ","1st round ",2.56,1.58,0.47,13,47,47,13
"2014JP3732RL",36,NA,25.6,"sunny ","final round ",2.15,1.23,0.52,14,30,30,11
"2014JP3731RTRIA",52,NA,19.4,"partly cloudy ","trial round ",2.19,0.41,-0.73,10,38,38,10
"2014JP3731RLT",49,NA,21.8,"partly cloudy ","1st round ",1.8,0.93,0.09,14,31,31,10
"2014JP3731RLT",51,NA,21.8,"partly cloudy ","2nd round ",1.79,1.15,0.3,8,31,31,10
"2014JP3731RL",56,NA,17.8,"partly cloudy ","1st round ",1.37,0.19,-0.87,30,40,40,10
"2014JP3731RL",61,NA,16.3,"partly cloudy ","final round ",0.22,-0.44,-1.38,33,32,32,8
"2014JP3722RLT",33,NA,27.2,"sunny ","1st round ",2.31,0.78,-0.33,18,70,70,17
